predicate,bulkrax_field,multiple
http://id.loc.gov/vocabulary/relators/dpt,depositor,FALSE
http://purl.org/dc/elements/1.1/contributor,contributor,TRUE
http://purl.org/dc/elements/1.1/creator,creator,TRUE
http://purl.org/dc/elements/1.1/description,description,TRUE
http://purl.org/dc/elements/1.1/language,language,TRUE
http://purl.org/dc/elements/1.1/publisher,publisher,TRUE
http://purl.org/dc/terms/bibliographicCitation,bibliographic_citation,TRUE
http://purl.org/dc/terms/created,date_created,TRUE
http://purl.org/dc/terms/dateSubmitted,date_uploaded,FALSE
http://purl.org/dc/terms/identifier,identifier,TRUE
http://purl.org/dc/terms/license,license,TRUE
http://purl.org/dc/terms/modified,date_modified,FALSE
http://purl.org/dc/terms/source,source,TRUE
http://purl.org/dc/terms/title,title,TRUE
http://purl.org/dc/terms/type,resource_type,TRUE
http://schema.org/additionalType,collection_type_gid,FALSE
http://schema.org/keywords,keyword,TRUE
http://scholarspace.library.gwu.edu/ns#advisor,advisor,TRUE
http://scholarspace.library.gwu.edu/ns#committee_member,committee_member,TRUE
http://scholarspace.library.gwu.edu/ns#degree,degree,TRUE
http://scholarspace.library.gwu.edu/ns#doi,doi,TRUE
http://scholarspace.library.gwu.edu/ns#gwaffiliation,gw_affiliation,TRUE
http://scholarspace.library.gwu.edu/ns#issue,issue,TRUE
http://scholarspace.library.gwu.edu/ns#proquest_zipfile,proquest_zipfile,TRUE
http://scholarspace.library.gwu.edu/ns#volume,volume,TRUE
http://www.europeana.eu/schemas/edm/rights,rights_statement,TRUE
http://www.w3.org/2000/01/rdf-schema#seeAlso,related_url,TRUE
http://xmlns.com/foaf/0.1/based_near,based_near,TRUE
https://iro.bl.uk/resource#bulkraxIdentifier,bulkrax_identifier,TRUE
info:fedora/fedora-system:def/model#hasModel,model,FALSE
http://purl.org/dc/terms/alternative,alternative_title,TRUE
http://purl.org/dc/elements/1.1/subject,subject,TRUE
